CODMUN7,ano,Nome,CV_SCR2
1101203,2017,Ministro Andreazza,10752
1101302,2017,Mirante da Serra,4178
1101401,2017,Monte Negro,9122
1101435,2017,Nova União,7528
1101450,2017,Parecis,13200
1101468,2017,Pimenteiras do Oeste,6666
1101476,2017,Primavera de Rondônia,10178
1101484,2017,São Felipe D'Oeste,12962
1101492,2017,São Francisco do Guaporé,14385
1101500,2017,Seringueiras,14117
1101559,2017,Teixeirópolis,10847
1101609,2017,Theobroma,15496
1101708,2017,Urupá,8940
1101757,2017,Vale do Anari,7757
1101807,2017,Vale do Paraíso,9368
1200013,2017,Acrelândia,8018
1200054,2017,Assis Brasil,4395
1200104,2017,Brasiléia,6911
1200138,2017,Bujari,1943
1200179,2017,Capixaba,9470
1200203,2017,Cruzeiro do Sul,5321
1200252,2017,Epitaciolândia,8560
1200302,2017,Feijó,4944
1200328,2017,Jordão,9346
1200336,2017,Mâncio Lima,6315
1200344,2017,Manoel Urbano,8304
1200351,2017,Marechal Thaumaturgo,5289
1200385,2017,Plácido de Castro,6765
1200393,2017,Porto Walter,7938
1200401,2017,Rio Branco,6857
1200427,2017,Rodrigues Alves,3843
1200435,2017,Santa Rosa do Purus,13555
1200450,2017,Senador Guiomard,5367
1200500,2017,Sena Madureira,5670
1200609,2017,Tarauacá,8750
1200708,2017,Xapuri,9752
1200807,2017,Porto Acre,5184
1300029,2017,Alvarães,7689
1300060,2017,Amaturá,9239
1300086,2017,Anamã,5393
1300102,2017,Anori,6412
1300144,2017,Apuí,9182
1300201,2017,Atalaia do Norte,7088
1300300,2017,Autazes,4716
1300409,2017,Barcelos,5982
1300508,2017,Barreirinha,5667
1300607,2017,Benjamin Constant,6517
1300631,2017,Beruri,3944
1300680,2017,Boa Vista do Ramos,7281
1300706,2017,Boca do Acre,4859
1300805,2017,Borba,9400
1300839,2017,Caapiranga,3351
1300904,2017,Canutama,7547
1301001,2017,Carauari,5761
1301100,2017,Careiro,9031
1301159,2017,Careiro da Várzea,9396
1301209,2017,Coari,4615
1301308,2017,Codajás,8994
1301407,2017,Eirunepé,5657
1301506,2017,Envira,5112
1301605,2017,Fonte Boa,4359
1301654,2017,Guajará,4519
1301704,2017,Humaitá,6288
1301803,2017,Ipixuna,5026
1301852,2017,Iranduba,8491
1301902,2017,Itacoatiara,5765
1301951,2017,Itamarati,2857
1302009,2017,Itapiranga,6054
1302108,2017,Japurá,8163
1302207,2017,Juruá,3684
1302306,2017,Jutaí,4745
1302405,2017,Lábrea,7405
1302504,2017,Manacapuru,5749
1302553,2017,Manaquiri,9317
1302603,2017,Manaus,7347
1302702,2017,Manicoré,5094
1302801,2017,Maraã,4073
1302900,2017,Maués,5890
1303007,2017,Nhamundá,7416
1303106,2017,Nova Olinda do Norte,5704
1303205,2017,Novo Airão,6445
1303304,2017,Novo Aripuanã,493
1303403,2017,Parintins,8762
1303502,2017,Pauini,6345
1303536,2017,Presidente Figueiredo,9944
1303569,2017,Rio Preto da Eva,7975
1303601,2017,Santa Isabel do Rio Negro,5067
1303700,2017,Santo Antônio do Içá,7944
1303809,2017,São Gabriel da Cachoeira,6779
1303908,2017,São Paulo de Olivença,10515
1303957,2017,São Sebastião do Uatumã,4655
1304005,2017,Silves,8737
1304062,2017,Tabatinga,8726
1304104,2017,Tapauá,6062
1304203,2017,Tefé,7236
1304237,2017,Tonantins,8491
1304260,2017,Uarini,2923
1304302,2017,Urucará,10269
1304401,2017,Urucurituba,5973
1400027,2017,Amajari,9685
1400050,2017,Alto Alegre,4915
1400100,2017,Boa Vista,9815
1400159,2017,Bonfim,13490
1400175,2017,Cantá,6656
1400209,2017,Caracaraí,9696
1400233,2017,Caroebe,10689
1400282,2017,Iracema,8759.
1400308,2017,Mucajaí,8278
1400407,2017,Normandia,7387
1400456,2017,Pacaraima,9171
1400472,2017,Rorainópolis,6450
1400506,2017,São João da Baliza,12376
1400605,2017,São Luiz,11707
1400704,2017,Uiramutã,5888
1500107,2017,Abaetetuba,6120
1500131,2017,Abel Figueiredo,10535
1500206,2017,Acará,8501
1500305,2017,Afuá,3640
1500347,2017,Água Azul do Norte,9225
1500404,2017,Alenquer,7831
1500503,2017,Almeirim,9094
1500602,2017,Altamira,5271
1500701,2017,Anajás,5439
1500800,2017,Ananindeua,4442
1500859,2017,Anapu,9642
1500909,2017,Augusto Corrêa,4326
1500958,2017,Aurora do Pará,6726
1501006,2017,Aveiro,7700
1501105,2017,Bagre,2921
1501204,2017,Baião,7801
1501253,2017,Bannach,17222
1501303,2017,Barcarena,6622
1501402,2017,Belém,6590
1501451,2017,Belterra,10593
1501501,2017,Benevides,6437
1501576,2017,Bom Jesus do Tocantins,9012
1501600,2017,Bonito,9502
1501709,2017,Bragança,4076
1501725,2017,Brasil Novo,7761
1501758,2017,Brejo Grande do Araguaia,14102
1501782,2017,Breu Branco,6102
1501808,2017,Breves,2933
1501907,2017,Bujaru,7237
1501956,2017,Cachoeira do Piriá,3147
1502004,2017,Cachoeira do Arari,7981
1502103,2017,Cametá,6668
1502152,2017,Canaã dos Carajás,4796
1502202,2017,Capanema,6822
1502301,2017,Capitão Poço,5753
1502400,2017,Castanhal,6576
1502509,2017,Chaves,3863
1502608,2017,Colares,9794
1502707,2017,Conceição do Araguaia,5495
1502756,2017,Concórdia do Pará,9391
1502764,2017,Cumaru do Norte,6753
1502772,2017,Curionópolis,5217
1502806,2017,Curralinho,1518
1502855,2017,Curuá,9853
1502905,2017,Curuçá,5220
1502939,2017,Dom Eliseu,7155
1502954,2017,Eldorado do Carajás,4789
1503002,2017,Faro,6611
1503044,2017,Floresta do Araguaia,5723
1503077,2017,Garrafão do Norte,7772
1503093,2017,Goianésia do Pará,5742
1503101,2017,Gurupá,7006
1503200,2017,Igarapé-Açu,8484
1503309,2017,Igarapé-Miri,5712
1503408,2017,Inhangapi,9187
1503457,2017,Ipixuna do Pará,5532
1503507,2017,Irituia,5866
1503606,2017,Itaituba,6470
1503705,2017,Itupiranga,7033
1503754,2017,Jacareacanga,5669
1503804,2017,Jacundá,6850
1503903,2017,Juruti,7417
1504000,2017,Limoeiro do Ajuru,6093
1504059,2017,Mãe do Rio,7285
1504109,2017,Magalhães Barata,12164
1504208,2017,Marabá,4777
1504307,2017,Maracanã,7546
1504406,2017,Marapanim,6123
1504422,2017,Marituba,4745
1504455,2017,Medicilândia,9080
1504505,2017,Melgaço,5370
1504604,2017,Mocajuba,5131
1504703,2017,Moju,6827
1504802,2017,Monte Alegre,7301
1504901,2017,Muaná,6847
1504950,2017,Nova Esperança do Piriá,9059
1504976,2017,Nova Ipixuna,8815
1505007,2017,Nova Timboteua,6748
1505031,2017,Novo Progresso,8446
1505064,2017,Novo Repartimento,6669
1505106,2017,Óbidos,5675
1505205,2017,Oeiras do Pará,6356
1505304,2017,Oriximiná,5391
1505403,2017,Ourém,7689
1505437,2017,Ourilândia do Norte,8169
1505486,2017,Pacajá,7513
1505494,2017,Palestina do Pará,10227
1505502,2017,Paragominas,5826
1505536,2017,Parauapebas,5590
1505551,2017,Pau D'Arco,5043
1505601,2017,Peixe-Boi,6930
1505635,2017,Piçarra,11594
1505650,2017,Placas,6205
1505700,2017,Ponta de Pedras,9449
1505809,2017,Portel,3653
1505908,2017,Porto de Moz,2773
1506005,2017,Prainha,6110
1506104,2017,Primavera,6279
1506112,2017,Quatipuru,8511
1506138,2017,Redenção,5403
1506161,2017,Rio Maria,7022
1506187,2017,Rondon do Pará,6120
1506195,2017,Rurópolis,7486
1506203,2017,Salinópolis,6236
1506302,2017,Salvaterra,6424
1506351,2017,Santa Bárbara do Pará,3581
1506401,2017,Santa Cruz do Arari,10129
1506500,2017,Santa Izabel do Pará,5247
1506559,2017,Santa Luzia do Pará,5555
1506583,2017,Santa Maria das Barreiras,10070
1506609,2017,Santa Maria do Pará,5808
1506708,2017,Santana do Araguaia,7840
1506807,2017,Santarém,4845
1506906,2017,Santarém Novo,7788
1507003,2017,Santo Antônio do Tauá,8344
1507102,2017,São Caetano de Odivelas,6933
1507151,2017,São Domingos do Araguaia,9313
1507201,2017,São Domingos do Capim,6857
1507300,2017,São Félix do Xingu,7293
1507409,2017,São Francisco do Pará,9022
1507458,2017,São Geraldo do Araguaia,4219
1507466,2017,São João da Ponta,4810
1507474,2017,São João de Pirabas,5180
1507508,2017,São João do Araguaia,3509
1507607,2017,São Miguel do Guamá,8418
1507706,2017,São Sebastião da Boa Vista,11176
1507755,2017,Sapucaia,10823
1507805,2017,Senador José Porfírio,4179
1507904,2017,Soure,5543
1507953,2017,Tailândia,7919
1507961,2017,Terra Alta,8941
1507979,2017,Terra Santa,6022
1508001,2017,Tomé-Açu,7533
1508035,2017,Tracuateua,4448
1508050,2017,Trairão,8009
1508084,2017,Tucumã,8569
1508100,2017,Tucuruí,6255
1508126,2017,Ulianópolis,4472
1508159,2017,Uruará,6722
1508209,2017,Vigia,5491
1508308,2017,Viseu,3187
1508357,2017,Vitória do Xingu,7182
1508407,2017,Xinguara,6895
1600055,2017,Serra do Navio,17462
1600105,2017,Amapá,9846
1600154,2017,Pedra Branca do Amapari,7469
1600204,2017,Calçoene,8275
1600212,2017,Cutias,13295
1600238,2017,Ferreira Gomes,9222
1600253,2017,Itaubal,4795
1600279,2017,Laranjal do Jari,11314
1600303,2017,Macapá,6470
1600402,2017,Mazagão,5322
1600501,2017,Oiapoque,5256
1600535,2017,Porto Grande,7083
1600550,2017,Pracuúba,10000
1600600,2017,Santana,6346
1600709,2017,Tartarugalzinho,10065
